Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,881944836_ARMS_Gexto_G2_2019_4B.JPG,4,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/266276e6-95b5-4119-a7c3-05e4f7d52f05.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,878988331_ARMS_Gexto_G2_2019_4T.JPG,4,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/748121b5-d1f3-4fad-8fa7-901bb01039fb.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,27850477_ARMS_Gexto_G2_2019_9B.JPG,9,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/2a8d8ba0-7732-437a-ab67-3a16eabe3215.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,246680902_ARMS_Gexto_G2_2019_2B.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/f7711451-8aec-4939-a886-b041457c920d.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,360505446_ARMS_Gexto_G2_2019_3T.JPG,3,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/527af37e-7069-4c4f-8bea-209a6c303b29.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,337213165_ARMS_Gexto_G2_2019_5B.JPG,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/cf2700ea-be04-479f-8ba2-040278911a18.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,290713305_ARMS_Gexto_G2_2019_8B.JPG,8,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/628959c3-fea7-4cfb-b58c-298978a2f99f.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,772799951_ARMS_Gexto_G2_2019_8T.JPG,8,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/67620242-9afa-497d-bc89-efd57c16fb6f.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,583661703_ARMS_Gexto_G2_2019_3B.JPG,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/0ed67796-4f50-4951-94d2-dbdc69aad9cb.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,435553888_ARMS_Gexto_G2_2019_6B.JPG,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/90edf1df-ec12-4031-ad37-8241d1c82140.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,892501965_ARMS_Gexto_G2_2019_2T.JPG,2,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/8ad9fee8-c3f4-4289-81cf-050fb52e85d7.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,572632323_ARMS_Gexto_G2_2019_6T.JPG,6,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/912ffe01-463f-4bae-b43f-4529ccb59e3e.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,312271369_ARMS_Gexto_G2_2019_5T.JPG,5,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/e29634bc-81e9-4892-a840-063cb5bb793b.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,Not Provided,Not Provided,Not Provided,Application,https://s3.hpc.ut.ee/plutof-public/original/e5291783-9095-4023-b90c-44e0edd764d1.xlsx,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,68249654_closeup_ARMS_Gexto_G2_2019_2B_2%20IMG_3326.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/abda42be-9a4f-44a4-a206-a5ff787cad9e.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,131433336_closeup_ARMS_Gexto_G2_2019_2B_8%20IMG_3332.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/6a6f2735-5827-44d1-be61-713bf7d82994.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,171573544_closeup_ARMS_Gexto_G2_2019_2B_15%20IMG_3339.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/e439dbf6-fbcd-4cbf-98f2-811ffbc5945d.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,45832172_closeup_ARMS_Gexto_G2_2019_3B_4%20IMG_3343.JPG,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/0b514c0d-266d-4bd8-9c4a-e147c6c3c75a.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,929159176_closeup_ARMS_Gexto_G2_2019_2B_4%20IMG_3328.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/0802273a-0df7-4cb0-a3cb-06f41ed0c46b.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,610574717_closeup_ARMS_Gexto_G2_2019_2B_10%20IMG_3334.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/b072e176-667b-4e2f-a647-801b47deb5ee.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,553194500_closeup_ARMS_Gexto_G2_2019_3B_9%20IMG_3348.JPG,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/588e3706-c6c1-4128-954c-40fa57a43c4f.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,707760151_closeup_ARMS_Gexto_G2_2019_5B_10%20IMG_3373.JPG,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/ca25e5ac-ff09-4a6c-a20e-868786e65bf7.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,582977827_closeup_ARMS_Gexto_G2_2019_6B_7%20IMG_3385.JPG,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/01eef386-6839-4dbe-bce6-8a976fce0fa3.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,992421305_closeup_ARMS_Gexto_G2_2019_7B_1%20IMG_3391.JPG,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/738ac98b-c12d-4760-a6f0-89812e9a8783.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,70341986_closeup_ARMS_Gexto_G2_2019_7B_7%20IMG_3397.JPG,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/ec7e5d1a-76d3-4afe-b2a8-58d2811e458e.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,272453956_closeup_ARMS_Gexto_G2_2019_7B_10%20IMG_3400.JPG,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/8831c820-8020-42fc-881b-501e79f92d09.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,815997185_closeup_ARMS_Gexto_G2_2019_8B_6%20IMG_3408.JPG,8,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/dab7c848-dfb9-4cb6-828a-6ac64964e8ba.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,98504387_closeup_ARMS_Gexto_G2_2019_8B_10%20IMG_3412.JPG,8,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/0320208a-f5da-48e7-8fa6-bc5ab1a0b73c.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,402126067_closeup_ARMS_Gexto_G2_2019_9B_9%20IMG_3423.JPG,9,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/98b540fc-27f0-49d1-a0e8-eb17382b2ebd.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,80508907_closeup_ARMS_Gexto_G2_2019_2B_3%20IMG_3327.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/107587fd-e339-4bb4-970f-09bbc44be5f8.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,956444818_closeup_ARMS_Gexto_G2_2019_7B_3%20IMG_3393.JPG,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/021d15dc-1410-48c3-b93d-1965ba4a6d30.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,487836904_closeup_ARMS_Gexto_G2_2019_2B_5%20IMG_3329.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/e1638487-93f2-41a9-9cd7-c05b1c4c29d3.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,774904749_closeup_ARMS_Gexto_G2_2019_2B_12%20IMG_3336.JPG,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/ff708b1f-d404-4f95-a025-974968dbe683.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,530810778_closeup_ARMS_Gexto_G2_2019_3B_2%20IMG_3341.JPG,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/7101149d-7005-450e-bd1b-f8eb6c7e8fad.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,314853297_closeup_ARMS_Gexto_G2_2019_3B_8%20IMG_3347.JPG,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/ffd4c8f3-ffa1-41ed-b5cc-4af839eb8ac4.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,245245654_closeup_ARMS_Gexto_G2_2019_3B_12%20IMG_3351.JPG,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/92aed4d2-cecd-429f-9f2b-6319e839f3f5.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,653317362_closeup_ARMS_Gexto_G2_2019_4B_6%20IMG_3357.JPG,4,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/908f7a90-a74b-4be3-a869-81190e94c06d.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,783419385_closeup_ARMS_Gexto_G2_2019_4B_10%20IMG_3361.JPG,4,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/cb2bba30-92c2-4a3b-9ad5-eb4f3aded0ab.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,728915789_closeup_ARMS_Gexto_G2_2019_5B_1%20IMG_3364.JPG,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/b1546984-4537-457f-85e2-6ff436195588.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,759369510_closeup_ARMS_Gexto_G2_2019_5B_7%20IMG_3370.JPG,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/3770c3c2-d159-4e08-886f-b8b7bb3c3af4.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,935054635_closeup_ARMS_Gexto_G2_2019_6B_2%20IMG_3380.JPG,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/40762f68-c740-4105-b62c-efa4ac72ee78.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,373231545_closeup_ARMS_Gexto_G2_2019_6B_6%20IMG_3384.JPG,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/a290318f-4949-4e40-a312-2889c220c5ed.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,600831741_closeup_ARMS_Gexto_G2_2019_6B_11%20IMG_3389.JPG,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/2ffda7f7-3c51-4ccc-b5f8-24bc751b60e7.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,518634661_closeup_ARMS_Gexto_G2_2019_7B_4%20IMG_3394.JPG,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/135f4390-20bd-40d7-b528-df0c67daee5b.jpg,2019-11-11,2023-10-26
Getxo,Spain,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,659265412_closeup_ARMS_Gexto_G2_2019_7B_12%20IMG_3402.JPG,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/c054a729-7a0d-4906-9924-2352c6565817.jpg,2019-11-11,2023-10-26
