Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475800,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/80f02679-99b8-4492-95a7-b8342d6e73a5.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475808,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/c8f4b9e8-cf00-4aff-b676-3d4e2c04d7c6.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475838,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/9ba88e58-e127-4048-bfe8-fe3b8e45d470.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475844,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/e4a105d3-137e-4072-b70b-9cc302bca64a.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475870,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/f14819f1-2e30-43b3-84fc-b0782e4cbe01.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475873,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ca7a4380-7273-4171-8427-ba0d08afc67c.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475896,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/230a5616-bbee-435a-8ef8-f0030fe5af11.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475906,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/4f227eb7-5256-4a2c-b215-523212c3ebbb.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475914,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/2803afbd-6c56-4861-8d1d-77bbc0883785.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475920,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a0c10528-5d6c-43db-9ca0-e4b11938ada4.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475926,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/51fc3476-b33f-4c76-a444-34fe09a4f5bf.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475932,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a2e505d3-2ce7-4d6c-9598-81aa7d446a1f.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475938,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/10b81a50-9112-44a4-ba9b-5fa0a5426e0b.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475799,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/d23dfc9b-7eb4-41b1-9034-f9bffffdd687.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475807,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/0c733c19-4961-42d8-b52a-5c593288ebf3.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475823,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/3f67c169-daee-4bd1-b5a4-081130ff5247.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475827,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/32cbf48d-dcd5-40d6-8558-a3b3a626cc42.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475857,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/5f6c35ed-2bb6-4cfd-b93d-deadbb064c0a.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475865,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/3d1414c7-fcf1-434e-aedb-5e106726151c.jpg,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,3475885,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/bf24b89d-9f79-4a06-917e-d17705c62fb3.jpg,2019-11-11,2020-04-27
