Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824255,4,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/3cf39115-ded3-45df-b999-b7955e76fbd6.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824267,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/c88e5d42-5a8c-4eb0-8145-6b5154cd7380.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824246,1,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/0cde0555-f1ce-4933-847b-e5f53fd025e5.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824260,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/265b90a3-d70e-49b2-b12f-23de9e7c2222.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824257,3,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/741ada4f-8698-49f0-9cdf-27c000b8aba4.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824247,3,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/4e9980ce-5086-46ab-bd38-0e61c3fe91dc.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824274,6,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/59b51fb3-3534-4c0f-a627-39a6c155a061.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824253,7,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/d02188a5-9534-4a97-941b-f9df43be4df2.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824273,6,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/9500121c-f759-467c-8ec9-5aa3f307da19.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824252,9,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/95fc88ab-c49c-47f6-8745-2ed17074d1ad.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824248,8,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/c4883604-bf8a-490b-97bb-b6e1d2eea442.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824256,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/aea375b6-57c5-4461-9ebb-3a1cddebbba5.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824275,3,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/5c3d30ba-7d55-429b-9668-8e2d25baa2db.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824254,2,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/6825059c-70e4-4cb2-be73-6632c9a43c49.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824263,9,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/b4ff8458-d612-4fed-8e48-5b2ab18890f5.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824272,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/175f033c-a924-4c20-8f1f-fb1d965b7809.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824250,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/ed41e60f-4534-42fe-8e7e-8e8a9f32c385.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824262,5,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/fa9a1ab5-35c9-4230-8a59-d0644d9df0c6.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824259,4,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/5bb975ab-38f8-41b5-8730-b90a4bf36d80.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824251,3,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/346b1f7c-3614-4860-baa7-901fac371017.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824269,5,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/7aa29387-58a9-4f69-8dfb-496b1a502be6.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824249,4,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/fd6de666-2e0b-4c55-bac0-2460faf3f72d.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824258,8,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/1093c5c3-d4b0-4590-be9a-072d494efaa4.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824265,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/35e9cb09-a23e-4742-806e-d85e7d6b0170.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824261,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/44ced6db-735f-4ffc-8154-4a13a5ee9868.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824266,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/1daa0d2d-9378-4280-8393-f15a97e0a84e.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824270,4,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/03e3b317-14e1-4f49-a95e-94a142013d28.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824271,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/53de89cc-9722-4685-bb5f-2fa4e389830b.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824264,9,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/c66c02ae-dd19-4f82-89f1-f5cfb2c2abba.jpeg,2019-11-25,2024-04-08
Nuuk,Greenland,Nuuk1,2021-10-05,2023-08-15,ARMS_Nuuk_Nuuk1_20211005_20230815,6824268,5,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/5b6b0239-2589-4006-aa37-ce4f19156831.jpeg,2019-11-25,2024-04-08
