station,country,unit,qc_param,qc_flag
Koster,Sweden,VH1,ARMS unit,passed
Koster,Sweden,VH3,ARMS unit,passed
Koster,Sweden,VH2,ARMS unit,passed
Koster,Sweden,Koster_VH1A,ARMS unit,missing
Koster,Sweden,Koster_VH2A,ARMS unit,missing
Koster,Sweden,Koster_VH3A,ARMS unit,missing
Roscoff,France,BasBloS1,ARMS unit,passed
Roscoff,France,MarBloR1,ARMS unit,passed
Roscoff,France,MarBloR3,ARMS unit,passed
Roscoff,France,MarBloR2,ARMS unit,passed
Roscoff,France,BasBloS3,ARMS unit,passed
Roscoff,France,BasBloS2,ARMS unit,passed
Plymouth,United Kingdom,MBA2,ARMS unit,passed
Plymouth,United Kingdom,MBA1,ARMS unit,passed
Plymouth,United Kingdom,MBA1A,ARMS unit,passed
Plymouth,United Kingdom,MBA1B,ARMS unit,passed
Plymouth,United Kingdom,MBA1C,ARMS unit,passed
Plymouth,United Kingdom,PLY4,ARMS unit,missing
Plymouth,United Kingdom,PLY1,ARMS unit,missing
Plymouth,United Kingdom,PLY2,ARMS unit,missing
Plymouth,United Kingdom,PLY3,ARMS unit,missing
Plymouth,United Kingdom,PLY7,ARMS unit,missing
Plymouth,United Kingdom,PLY5,ARMS unit,missing
Plymouth,United Kingdom,PLY6,ARMS unit,missing
Plymouth,United Kingdom,PLY8,ARMS unit,missing
TZS,Finland,NA,Station,passed
TZS,Finland,NA,Station,passed
TZS,Finland,NA,Station,passed
TZS,Finland,NA,Station,passed
Svalbard,Norway,S2,ARMS unit,passed
Svalbard,Norway,S1A,ARMS unit,passed
Svalbard,Norway,S1B,ARMS unit,passed
Svalbard,Norway,S1C,ARMS unit,passed
Svalbard,Norway,S1,ARMS unit,passed
Svalbard,Norway,Svalbard S1A,ARMS unit,missing
Svalbard,Norway,Svalbard S1B,ARMS unit,missing
Svalbard,Norway,Svalbard S1C,ARMS unit,missing
Rothera,Antarctica,SouthCove1,ARMS unit,passed
Rothera,Antarctica,Cheshire1,ARMS unit,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,NA,Station,passed
BelgiumCoast,Belgium,CPowerMooring,ARMS unit,passed
BelgiumCoast,Belgium,CPowerTripod2,ARMS unit,passed
BelgiumCoast,Belgium,CPowerTripod1,ARMS unit,passed
Vigo,Spain,TorallaC,ARMS unit,passed
Vigo,Spain,TorallaD,ARMS unit,passed
Vigo,Spain,TorallaA,ARMS unit,passed
Vigo,Spain,TorallaB,ARMS unit,passed
Eilat,Israel,NR2,ARMS unit,passed
Eilat,Israel,NR1,ARMS unit,passed
Eilat,Israel,Katza2,ARMS unit,passed
Eilat,Israel,Katza1,ARMS unit,passed
Eilat,Israel,NR3,ARMS unit,passed
Eilat,Israel,Katza3,ARMS unit,passed
GulfOfPiran,Slovenia,NA,Station,passed
GulfOfPiran,Slovenia,NA,Station,passed
GulfOfPiran,Slovenia,NA,Station,passed
GulfOfPiran,Slovenia,LukaKP,ARMS unit,passed
GulfOfPiran,Slovenia,BojaVida,ARMS unit,passed
Getxo,Spain,G2,ARMS unit,passed
Getxo,Spain,G1,ARMS unit,passed
Getxo,Spain,G3,ARMS unit,passed
Gdynia,Poland,GDY1,ARMS unit,passed
Limfjord,Denmark,Green33,ARMS unit,passed
Limfjord,Denmark,Red2,ARMS unit,passed
Limfjord,Denmark,Yellow8,ARMS unit,passed
Bodo,Norway,GStraB,ARMS unit,passed
Bodo,Norway,GStraM,ARMS unit,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,NA,Station,passed
SWC,Sweden,Gbg4,ARMS unit,passed
SWC,Sweden,Bjorko1,ARMS unit,passed
SWC,Sweden,Hjuvik1,ARMS unit,passed
SWC,Sweden,Gbg1,ARMS unit,passed
SWC,Sweden,Gbg2,ARMS unit,passed
SWC,Sweden,Gbg3,ARMS unit,passed
SWC,Sweden,Varberg1,ARMS unit,passed
SWC,Sweden,Varberg2,ARMS unit,passed
SWC,Sweden,Varberg3,ARMS unit,passed
SWC,Sweden,Marstrand2,ARMS unit,passed
SWC,Sweden,Marstrand3,ARMS unit,passed
SWC,Sweden,Helsingborg1,ARMS unit,passed
SWC,Sweden,Helsingborg2,ARMS unit,passed
SWC,Sweden,Marstrand1,ARMS unit,passed
SWC,Sweden,Preemraff2,ARMS unit,passed
SWC,Sweden,Preemraff1,ARMS unit,passed
AdriaticEastCoast,Italy,NA,Station,passed
AdriaticEastCoast,Italy,NA,Station,passed
AdriaticEastCoast,Italy,NA,Station,passed
KosterSeafarm,Sweden,NSF1,ARMS unit,passed
KosterSeafarm,Sweden,NSF2,ARMS unit,passed
