Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,1708365_2018_MBlo_R1_PA240101.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/dab468c8-4a19-4f97-9403-a86ea611ac5f.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,240245695_2018_MBlo_R1_PA240140.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ea75f639-fec4-443e-a8ea-27c8bd265411.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,513465020_2018_MBlo_R1_PA240109.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/6f1b3a0d-a38d-4a0d-a401-e7e9c2f88186.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,968382872_2018_MBlo_R1_PA240069.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/9fb0f6f5-1c77-45a1-8d1d-ce8d66866ee9.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,600206778_2018_MBlo_R1_PA240125.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/50e417f7-8bbc-4bbb-88e2-1ea14438ffa0.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,869126612_2018_MBlo_R1_PA240160.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/3ee46540-57f5-4a0e-89b8-2710671f89d0.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,613069774_2018_MBlo_R1_PA240195.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/35217494-2e0e-4687-b3a8-031047b091ad.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,828497878_2018_MBlo_R1_PA240161.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/37875145-606a-4092-8b2f-9e8a6986cfee.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,689841073_2018_MBlo_R1_PA240174.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/f91eec49-5065-46dd-a1d9-110907f724fd.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,805096518_2018_MBlo_R1_PA240175.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/5c773398-58f2-4ee0-b736-f4c64cab5167.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,946542313_2018_MBlo_R1_PA240196.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/319fc09b-19a8-4401-bbb8-504cd60c705a.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,65220467_2018_MBlo_R1_PA240209.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/9cfe8629-b657-4690-b481-3934bef6a2ca.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,630852148_2018_MBlo_R1_PA240210.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/cf6b3780-9d7a-44e1-a6d6-b395d00091b3.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,777226685_2018_MBlo_R1_PA240223.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/370285ad-b047-4725-8408-7a8d0501b1ae.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,579456578_2018_MBlo_R1_PA240224.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/525aba71-ca4f-4d5a-a40b-e63b262a2b5e.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,274678187_2018_MBlo_R1_PA240238.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/c01fef89-25be-43b6-8fd9-99eec432f920.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,603653994_2018_MBlo_R1_PA240237.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/1b902e97-45eb-404a-8a9c-5e87dabb52d2.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,332527355_2018_MBlo_R1_PA240239.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/1f856f8a-d04a-4e88-990d-39b64ee8f79a.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,781952095_2019_MBlo_R1_P9160028.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/b0cbcadd-6e10-4de6-97ee-45756842ca31.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,737523477_2019_MBlo_R1_P9160018.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/4ac8f5af-6393-4416-b956-4fc9786c9e71.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,337043595_2019_MBlo_R1_P9160041.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/32885665-988b-4be4-8603-01927e5476c5.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,163807760_2019_MBlo_R1_P9160014.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/7d6ff48b-5a72-44b0-96e9-0b9f9809bc23.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,140069223_2019_MBlo_R1_P9160036.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/1cf20a55-2d59-4a7c-b366-4deb6d98e5bb.jpg,2019-11-05,2019-12-04
