Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_SWC_Gbg4_20200206_20200529_MF100,ARMS_SWC_Gbg4_20200206_20200529,,2021-04-30,2024-06-06,181,18
ARMS_SWC_Gbg4_20200206_20200529_MF500,ARMS_SWC_Gbg4_20200206_20200529,,2021-04-30,2024-06-06,53,18
ARMS_SWC_Gbg4_20200206_20200529_SF40,ARMS_SWC_Gbg4_20200206_20200529,,2021-04-30,2024-06-06,179,18
ARMS_SWC_Bjorko1_20200131_20200518_MF100,ARMS_SWC_Bjorko1_20200131_20200518,,2021-04-30,2024-06-06,133,36
ARMS_SWC_Bjorko1_20200131_20200518_SF40,ARMS_SWC_Bjorko1_20200131_20200518,,2021-04-30,2024-06-06,136,36
ARMS_SWC_Bjorko1_20200131_20200518_MF500,ARMS_SWC_Bjorko1_20200131_20200518,,2021-05-14,2024-06-06,26,36
ARMS_SWC_Hjuvik1_20200131_20200518_MF500,ARMS_SWC_Hjuvik1_20200131_20200518,,2021-04-30,2024-06-06,74,28
ARMS_SWC_Hjuvik1_20200131_20200518_MF100,ARMS_SWC_Hjuvik1_20200131_20200518,,2021-04-30,2024-06-06,250,28
ARMS_SWC_Hjuvik1_20200131_20200518_SF40,ARMS_SWC_Hjuvik1_20200131_20200518,,2021-04-30,2024-06-06,172,28
ARMS_SWC_Gbg1_20200206_20200520_MF500,ARMS_SWC_Gbg1_20200206_20200520,,2021-04-30,2024-06-06,326,44
ARMS_SWC_Gbg1_20200206_20200520_SF40,ARMS_SWC_Gbg1_20200206_20200520,,2021-04-30,2024-06-06,247,44
ARMS_SWC_Gbg1_20200206_20200520_MF100,ARMS_SWC_Gbg1_20200206_20200520,,2021-05-14,2024-06-06,76,44
ARMS_SWC_Gbg2_20200206_20200520_MF100,ARMS_SWC_Gbg2_20200206_20200520,,2021-04-30,2024-06-06,168,24
ARMS_SWC_Gbg2_20200206_20200520_SF40,ARMS_SWC_Gbg2_20200206_20200520,,2021-05-14,2024-06-06,128,24
ARMS_SWC_Gbg2_20200206_20200520_MF500,ARMS_SWC_Gbg2_20200206_20200520,,2021-05-18,2024-06-06,31,24
ARMS_SWC_Gbg3_20200206_20200529_MF100,ARMS_SWC_Gbg3_20200206_20200529,,2021-04-30,2024-06-06,282,21
ARMS_SWC_Gbg3_20200206_20200529_MF500,ARMS_SWC_Gbg3_20200206_20200529,,2021-04-30,2024-06-06,233,21
ARMS_SWC_Gbg3_20200206_20200529_SF40,ARMS_SWC_Gbg3_20200206_20200529,,2021-04-30,2024-06-06,183,21
ARMS_SWC_Varberg1_20200213_20200603_MF500,ARMS_SWC_Varberg1_20200213_20200603,,2021-04-30,2024-06-06,71,23
ARMS_SWC_Varberg1_20200213_20200603_SF40,ARMS_SWC_Varberg1_20200213_20200603,,2021-04-30,2024-06-06,253,23
ARMS_SWC_Varberg1_20200213_20200603_MF100,ARMS_SWC_Varberg1_20200213_20200603,,2021-05-14,2024-06-06,89,23
ARMS_SWC_Varberg2_20200213_20200603_MF100,ARMS_SWC_Varberg2_20200213_20200603,,2021-04-30,2024-06-06,252,21
