Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559585,2,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/77c5cad1-2fa0-41ba-b9a0-ea32970ec81b.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559589,5,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/26d9d20f-51ea-4a2c-a5a3-e2ea16f73089.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559582,1,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/711a2233-839c-44b2-b25c-b76a823ae68c.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559596,9,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/1c80c044-85b6-4c98-ac1a-fa558f527e19.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559583,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/5e55f9cd-96fc-42f3-93e0-1cf555df0334.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559584,3,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/1d509ed5-dc93-478b-be78-c1f86f594b62.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559587,4,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/9a7b8680-d8dc-4549-89b3-a5f7b579e61a.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559592,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/8eb221d6-5c7c-41bb-8180-713589cd6746.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559597,9,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/49a5ef8e-8ab9-4fe0-b14b-093c64317582.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559595,8,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/f53fa8dc-880f-4bc7-a5dd-2b646f8177d9.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559588,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/a4634870-22db-4a21-a562-c9b71626512e.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559581,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/23050e08-097c-4508-931d-6f2308c6090a.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559586,4,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/392da849-83c7-4417-a5b1-21c4d69754f2.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559591,6,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/102d44d4-1971-4783-b0fc-91b4d0b1f49c.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559594,8,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/34ba230f-37b4-4ff2-b9d7-f7466f157324.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559590,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/a3165fa9-ed9d-4c4c-a090-fd2350aa3a6a.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559580,1,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/1508edd5-b05a-4663-8457-b075d21a4475.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,3559593,7,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/e08483b3-1e39-4d59-af23-4075b5179856.jpeg,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456801,1,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/d69bd2ea-e881-4ae2-9374-ee9553f0b063.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456805,3,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/45fc840b-0669-4b31-9e8c-9b1a8d0b0d3b.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456802,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/de8f6c46-f9c1-40d8-b882-48e4fff72b24.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456800,1,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/650cae01-0feb-4569-93e1-a73166069db4.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456803,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/1bd5421a-d5ec-4df0-bc78-37f512aeb1a8.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456804,2,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/60c926db-9392-4576-b003-59579db641ba.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456806,4,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/a7c409ab-6143-4772-ac16-40ea355d0029.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456807,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/ab8a0fbb-3954-4c9e-9be6-c2f68bdb62d6.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456810,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/168c767d-fe20-4c71-b0de-2d111e269fd7.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456809,5,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/32162da3-41d7-4118-9eeb-421a8fbddc78.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456811,6,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/bd3ec256-f650-437d-99c7-da09e2fb12b0.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456813,7,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/8b1f5749-2569-4b9c-ac17-085caad358ef.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456812,7,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/056ce9a1-2346-45dd-beb2-bbe5bd79d4f9.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456815,8,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/11dccc87-0630-4f39-b0d0-e31439a87a9b.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456814,8,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/aa233a8f-40d6-4780-a464-4a3f8f2a6570.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456817,9,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/0f18588b-41e5-4846-9d21-ecf1e5bea191.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456816,9,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/7aa797ed-bafb-4086-9150-184d431317c5.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,3456808,4,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/10b48dd1-a13e-4969-ae36-a1c0b1262c25.jpg,2019-11-11,2022-01-24
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3546308,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/4f0a3ab0-7e4b-4517-a228-74ee5d9bb2ea.jpg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3546310,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ea5daebf-334f-4d05-8a63-07e78b849dcf.jpg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3546309,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/758b9f74-0a1a-4277-a9da-d89cdf1e78d4.jpg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3545588,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/cba8c6c5-a14f-45cd-94b3-7ea3c08b364d.jpg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3545586,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/cdc6e688-064b-439a-b4b0-cd34ab23949d.jpg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3545589,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/04fc42a0-38bb-4ef5-abde-d7b6254a6abd.jpg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3545587,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/aab5b25e-6eb6-4c5f-acbd-b4d9b45da200.jpg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3545590,Not Provided,Not Provided,Video,https://s3.hpc.ut.ee/plutof-public/original/c9f84ce2-de12-4aa4-9281-c8a8f9f9f683.mov,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559546,2,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/5a8cd3af-0cf3-4ec4-a95e-0c8acbe5b4eb.jpeg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559550,4,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/7036d9b5-3e3f-45fd-8cef-84e5d2d6cb19.jpeg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559558,8,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/d82c914f-06b2-4600-92bd-a04d0680c8ea.jpeg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559547,2,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/c83a64d5-faec-46f5-ab58-7f23aafb4b25.jpeg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559561,9,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/42fd0ccb-4b04-4535-afae-a8c649eaa20b.jpeg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559549,3,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/8a14309f-cf0f-47d6-900b-79bffbb10660.jpeg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559555,6,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/35ed6a62-a57e-4f1e-91f3-08e046cef6f3.jpeg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559545,1,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/2ad28173-f4a8-487b-a6c8-b4b95675c24f.jpeg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559548,3,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/d56bf9d1-9d85-46b1-909c-63fb5e3e6c3e.jpeg,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,3559553,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/c3737e66-689f-4fab-99f4-d595ef62cce4.jpeg,2020-07-13,2020-10-12
