Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Event_Description,IUCN_Habitat_type,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Vigo,Spain,TorallaC,42.22840000,-8.77870000,12,12,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,same as year before,None,0,0,0,18,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,42.22840000,-8.77870000,12,12,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,"Toralla is a Island located at NW Iberia inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.",9.4 - Subtidal Sandy,0,0,0,18,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,42.22840000,-8.77870000,12,12,2021-07-01,2021-10-09,ARMS_Vigo_TorallaC_20210701_20211009,"Toralla is a Island located at NW Iberia inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.",9.4 - Subtidal Sandy,0,0,0,0,2024-07-19,2024-07-19
Vigo,Spain,TorallaA,42.22840000,-8.77870000,12,12,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,same as described for 2018,None,0,0,0,26,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,42.22840000,-8.77870000,12,12,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924,"Toralla is a Island located at NW Iberia inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.",9.4 - Subtidal Sandy,0,0,0,25,2019-11-11,2022-01-24
Vigo,Spain,TorallaA,42.22840000,-8.77870000,12,12,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014,"Toralla is a Island located at NW Iberia inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.",9.4 - Subtidal Sandy,0,0,0,21,2019-11-11,2022-01-24
Vigo,Spain,TorallaA,42.22840000,-8.77870000,12,12,2021-07-01,2021-10-09,ARMS_Vigo_TorallaA_20210701_20211009,"Toralla is a Island located at NW Iberia inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.",9.4 - Subtidal Sandy,0,0,0,0,2024-07-19,2024-07-19
Vigo,Spain,TorallaB,42.22840000,-8.77870000,12,12,2020-07-06,2020-10-06,ARMS_Vigo_TorallaB_20200706_20201006,same as year before,None,0,0,0,18,2020-07-13,2020-10-12
Vigo,Spain,TorallaB,42.22840000,-8.77870000,12,12,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014,"Toralla is a Island located at NW Iberia inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.",9.4 - Subtidal Sandy,0,0,0,18,2019-11-11,2022-01-24
Vigo,Spain,TorallaB,42.22840000,-8.77870000,12,12,2021-07-01,2021-10-09,ARMS_Vigo_TorallaB_20210701_20211009,"Toralla is a Island located at NW Iberia inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.",9.4 - Subtidal Sandy,0,0,0,0,2024-07-19,2024-07-19
