column,ColumnTitle_4Tesseract,ColumnOrder_4Tesseract,datatype,propertyUrl,Description,Unit,UnitUrl, , 
Sample_ID,Sample ID,13,xsd:string,schema:identifier,The Sample ID we are using for these data,NA,NA,,
Country,Country,1,xsd:string,schema:country,The country of sampling,NA,NA,,
Observatory_ID,Observatory,2,xsd:string,schema:identifier,The observatory ID,NA,NA,,
ARMS_ID,ARMS ID,3,xsd:string,schema:identifier,The ARMS unit ID,NA,NA,,
Deploy_Date,Date deploy,4,xsd:string,schema:startDate,Date the ARMS unit was deployed,NA,NA,,
Collect_Date,Date collect,5,xsd:string,schema:endDate,Date the ARMS unit was collected,NA,NA,,
Gene_COI,COI,6,xsd:string,http://edamontology.org/data_1093,ENA run accession number for the COI gene type,NA,NA,,
Gene_18S,18S,7,xsd:string,http://edamontology.org/data_1093,ENA run accession number for the 18S gene type,NA,NA,,
Gene_ITS,ITS,8,xsd:string,http://edamontology.org/data_1093,ENA run accession number for the ITS gene type,NA,NA,,
Gene_COI_negative_control,COI neg. control,9,xsd:string,http://edamontology.org/data_1093,ENA run accession number for the COI negative control ,NA,NA,,
Gene_18S_negative_control,18S neg. control,10,xsd:string,http://edamontology.org/data_1093,ENA run accession number for the 18S negative control sequence,NA,NA,,
Gene_ITS_negative_control,ITS neg. control,11,xsd:string,http://edamontology.org/data_1093,ENA run accession number for the ITS negative control sequence,NA,NA,,
Latitude,Latitude,16,xsd:double,schema:latitude,ARMS unit latitude,decimal degree,https://vocab.nerc.ac.uk/collection/P06/current/UAAA/,,
Longitude,Longitude,17,xsd:double,schema:longitude,ARMS unit longitude,decimal degree,https://vocab.nerc.ac.uk/collection/P06/current/UAAA/,,
Depth_min,Depth min,14,xsd:integer,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,ARMS unit minimum depth in meters,metre,https://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,
Depth_max,Depth max,15,xsd:integer,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,ARMS unit maximum depth in meters,metre,https://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,
SequencingRunRepeat,SequencingRun,12,xsd:string,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,"The sequencing run (first = run 1, second, repeat run = run 2)",NA,NA,,
