Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,File_Type,File_Download_URL,created_at,updated_at
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_001.JPG,Image,https://files.plutof.ut.ee/public/orig/61/6E/616E94DF5A77CFB8EC3FEC8CB76D2252432709D6C16D32788396DAD9C4EC562A.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_006.JPG,Image,https://files.plutof.ut.ee/public/orig/7E/C8/7EC8A45091949DC2C80FD317626B7F36003A1D42B12069C6768ED39D0BA20BEB.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_005.JPG,Image,https://files.plutof.ut.ee/public/orig/8E/C2/8EC2479C02C3B283309E47AC3DB4B1B8692CD7CD2580F68C27C478EC81F4F8B9.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_003.JPG,Image,https://files.plutof.ut.ee/public/orig/CE/70/CE70719BCAE64288C627541516EE239D263BAADF6F24D6828636FECD16CF1833.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_002.JPG,Image,https://files.plutof.ut.ee/public/orig/8A/C6/8AC6E172D3B0AD405F8C6D21600A334FCD3F523BBBE5BF51C60026E4AD64AC59.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_004.JPG,Image,https://files.plutof.ut.ee/public/orig/81/40/8140B601C01107E829E29074A49A84179799973F9A756A771DA073E89EF40110.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_007.JPG,Image,https://files.plutof.ut.ee/public/orig/36/DD/36DD6DCAA5850600D8E1270A62CAC55F2DCBE4CE15CEE723F28F1BD43E55464E.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_008.JPG,Image,https://files.plutof.ut.ee/public/orig/B4/E8/B4E8EDB7C67E07690D7AF83E70335BE00C1462D4DBD035BAD4D57ECB56A9876D.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1B_009.JPG,Image,https://files.plutof.ut.ee/public/orig/44/3E/443E39012EC12B87E2C99A3F7B015B2CCB0994D7F9949A0180EBCC61D4D313D2.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_001.JPG,Image,https://files.plutof.ut.ee/public/orig/29/94/299431886BBBDA4675F0766B3BB241924E36046A07348313DBEA0E1123AA2078.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_002.JPG,Image,https://files.plutof.ut.ee/public/orig/92/B9/92B9DC3007DFC7C3EF2751019F76365F5C57E26F38649C1E974640AE48914BC9.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_003.JPG,Image,https://files.plutof.ut.ee/public/orig/FC/2B/FC2B66944D37C7DA5DFDF5A7B0F10308E591A6B160B4C14CA0DE839575BDBB64.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_004.JPG,Image,https://files.plutof.ut.ee/public/orig/45/68/45687B289942ADAD5EC436CB9D6A8D8BADF890DC08599F1B111C31404F5B19A8.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_005.JPG,Image,https://files.plutof.ut.ee/public/orig/5F/F4/5FF4C47155A1356EB501417A8C7AB11625FB9672FFF5B288D8BAD9981F5CC018.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_007.JPG,Image,https://files.plutof.ut.ee/public/orig/82/76/8276AE88570863E14973F58E0D40A8EE8231A04566E3CAFF7DB5BBED8AEC5293.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_006.JPG,Image,https://files.plutof.ut.ee/public/orig/61/76/6176282FE46AF6A64B32660EA28C37C96B7B76ED6C4C8CCC174A65278959D40A.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_008.JPG,Image,https://files.plutof.ut.ee/public/orig/F3/66/F366555D8EAED69D31641ADC8033D4AAE008CAF37C6DA83BB45D609E7F9671B1.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_009.JPG,Image,https://files.plutof.ut.ee/public/orig/63/74/6374F4F09742F99E7A95B62174C2D688D99C5FC114E543AD431ABEEF59D34C38.jpg,2020-08-04,2020-12-16
Eilat,Israel,NR,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,ARMS_NR_2_181017-200524_1T_010.JPG,Image,https://files.plutof.ut.ee/public/orig/57/F7/57F782DB6C94EF5A0871F21BD3A1683F035BB273355F4D9794EE8254F2B26828.jpg,2020-08-04,2020-12-16
