Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,File_Type,File_Download_URL,created_at,updated_at
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240101.JPG,Image,https://files.plutof.ut.ee/public/orig/1E/A2/1EA2CF2C0D9EF97CE6CFFCA651AD2B0B2A6A17DBF41B272F290F0666CF615E02.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240140.JPG,Image,https://files.plutof.ut.ee/public/orig/26/A3/26A338930660294C763F9C2DEBA5A696FDB5CA96BCA03E44040C4B13486620F9.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240109.JPG,Image,https://files.plutof.ut.ee/public/orig/E7/C6/E7C634E69F5BA1F474001BAAF49B891B58F2821E74E4219B2ACE75EFA3FD2C37.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240069.JPG,Image,https://files.plutof.ut.ee/public/orig/05/C7/05C7CA0A129C9D634C2D677526FDA1A8E6F7B6CFB3E9D828A01C215961199A44.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240125.JPG,Image,https://files.plutof.ut.ee/public/orig/7C/2F/7C2F044A9447E29B8A62C78DA519A10667E4200DA8464DE8EE0D597958D9F0D7.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240160.JPG,Image,https://files.plutof.ut.ee/public/orig/CE/DF/CEDFBFBB30AABE8510C0E085737946DD51764C5E3966B375D19A2429D1495A32.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240195.JPG,Image,https://files.plutof.ut.ee/public/orig/93/BA/93BA49E25EABE43576E427DDF88F370797F52709EAF792225559ABAC49787D2A.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240161.JPG,Image,https://files.plutof.ut.ee/public/orig/7B/28/7B289295907F807C091358834DC253952B27CED3205B4C7A017396989E4BE5BF.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240174.JPG,Image,https://files.plutof.ut.ee/public/orig/21/A5/21A5C693862498CB4AD078759AD8889ED0D7BCA4B69B33FEC0479F39A634073F.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240175.JPG,Image,https://files.plutof.ut.ee/public/orig/08/EB/08EBD3AE3EB66B6DC9C3DFA3EC555A9053B4B7C9FC6F04523B476692A87AA5B8.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240196.JPG,Image,https://files.plutof.ut.ee/public/orig/84/F6/84F6ED065EDA989A4B5E1346954006E2279EEFDAD9EDD279033572BA7F1E8BC6.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240209.JPG,Image,https://files.plutof.ut.ee/public/orig/25/DC/25DCF47BE0DE798E7B3E3DA720D7F8A98C7D2E82478A694DCE26CB348E38F3CB.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240210.JPG,Image,https://files.plutof.ut.ee/public/orig/8D/D6/8DD68349B278ADC28D7A804F2AF800484AAB45A2F17A48E6046BA84ACE94BA3B.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240223.JPG,Image,https://files.plutof.ut.ee/public/orig/D2/95/D2959EC937299EF59B7411011F05F5EFC60127D28EB71B7F99F0C918A33722C3.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240224.JPG,Image,https://files.plutof.ut.ee/public/orig/B5/CE/B5CE903CFF75AA0219D59DE76E0A920F498A5D5F1C249525ADB1E2304BFDEA4D.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240238.JPG,Image,https://files.plutof.ut.ee/public/orig/73/F4/73F440C23D3940EDAD5C66EEF6C8992CBA16F6E31BC2845530E002BD0EBC7909.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240237.JPG,Image,https://files.plutof.ut.ee/public/orig/97/85/9785ECE0C2499AA810800575ACD0AD7475279520AC8F81E92C9C7018C0C493AA.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2018-07-09,2018-10-24,ARMS_Roscoff_MarBloR1_20180709_20181024,2018_MBlo_R1_PA240239.JPG,Image,https://files.plutof.ut.ee/public/orig/1B/F3/1BF330D7A8514E0AA34FC48B6054BA3D47819785A0BDEF91A42BA83FF05A8F36.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160028.JPG,Image,https://files.plutof.ut.ee/public/orig/4F/EC/4FEC94570ADD6F6B7C826CF47E5AC0E6BC4B6D7FFF99C1B11A22428E46BEF44B.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160018.JPG,Image,https://files.plutof.ut.ee/public/orig/3B/FC/3BFC0DC078F4C770668B0BAF47AD2C74DCBB69A9E81260A67B9E671185218A82.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160041.JPG,Image,https://files.plutof.ut.ee/public/orig/FB/C4/FBC4E9E37329CDDF68B50EC21F1C7B827DEB099555493829E1BC163B24AEF8E0.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160014.JPG,Image,https://files.plutof.ut.ee/public/orig/FB/E3/FBE39155A283AEAA8F1455DA3461A8715B355E774257EBDF681F438498A278B8.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160036.JPG,Image,https://files.plutof.ut.ee/public/orig/37/58/37587D3146DFB39633DF1FD83874298DC55A0F86702E06356CB5C67D04FA2109.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160047.JPG,Image,https://files.plutof.ut.ee/public/orig/3F/07/3F078FF1CC035C677A9D1A4C967C6214786E7119BEC5F4B5ADA10DE94436270C.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160056.JPG,Image,https://files.plutof.ut.ee/public/orig/0E/86/0E869D3D61AE708DE0090C69F2A454418B88F47582D066BE24BFF8AB22BD7ACC.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160052.JPG,Image,https://files.plutof.ut.ee/public/orig/BF/9A/BF9A81A012B5002856AEEDBF48BBF98BA319E57B18E22DD58F322BC461770D6A.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160066.JPG,Image,https://files.plutof.ut.ee/public/orig/61/D6/61D692691949C763D049AF42C71241790AAF7998B26CB710BE8AD690E40BBC29.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160069.JPG,Image,https://files.plutof.ut.ee/public/orig/95/A2/95A25570496EF2F7A2912F55E071A2D0539841B717CD994F601F84A054F82AAA.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160076.JPG,Image,https://files.plutof.ut.ee/public/orig/5B/D5/5BD52C8B99511C69A36BA76CA7B10F7A5C19809416750746D5DB93EAD969A808.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160060.JPG,Image,https://files.plutof.ut.ee/public/orig/4E/B8/4EB8097AED41641D0B10C8BAC41F5253E685572E7D09C1EA08BC54511799C957.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160087.JPG,Image,https://files.plutof.ut.ee/public/orig/3D/88/3D88E25D9749638E15BACA0568E5CE788786894257E4902DCA8B1083F264D4BE.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160079.JPG,Image,https://files.plutof.ut.ee/public/orig/7D/B7/7DB7DD54F3548107F0FFD34744FFD667653EBB0B2EBEE2CA3467312FD7F17DB4.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160089.JPG,Image,https://files.plutof.ut.ee/public/orig/90/C1/90C1781637AD8A7E0EF28D42FA3A956EA5FF5C4B131779266DB8294A94C50C8A.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160093.JPG,Image,https://files.plutof.ut.ee/public/orig/07/8C/078C16E5250A4118ED702ED5B4023F30967D81585B2BC88504A17558547070BF.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160097.JPG,Image,https://files.plutof.ut.ee/public/orig/C8/22/C822270664CD4D2AA7ED3A743955BC52EF31623944C0BD4CE1364A9D26B99554.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR1,2019-06-12,2019-09-16,ARMS_Roscoff_MarBloR1_20190612_20190916,2019_MBlo_R1_P9160104.JPG,Image,https://files.plutof.ut.ee/public/orig/61/E1/61E14A9C67B7ABF88B8B69D07223FEB645D84B72B3281FBA4581F282B938D93F.jpg,2019-11-05,2019-12-04
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180224.JPG,Image,https://files.plutof.ut.ee/public/orig/45/87/45870EB9CFCB7DF716681317D035DA6262CEBC00302BDDFF3648D74DAFF26BCB.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180226.JPG,Image,https://files.plutof.ut.ee/public/orig/DC/C3/DCC31BB92D66AFAF1861028A01148F97A4AB7CCFF3C1B63FCEC7A8DB8CD42B23.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180222.JPG,Image,https://files.plutof.ut.ee/public/orig/D7/11/D7112050234DDAFBF9A0EAF7ED5106E72B1CACAC08A408814F1C65915597A6A6.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180234.JPG,Image,https://files.plutof.ut.ee/public/orig/BA/C4/BAC485DE10F667A2AB9067E8321DEBE5F3D09D4ED1B42B1C704B6D0FA5386CD2.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180228.JPG,Image,https://files.plutof.ut.ee/public/orig/A4/73/A4739089D948B223CFC87D4A82227C845932EC22A10658A3D97B327719C80A31.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180239.JPG,Image,https://files.plutof.ut.ee/public/orig/E6/17/E6173F3465C2E93F4B3ECCDD09297FED2895D1D4F357233B54CD6C8DD345E16A.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180243.JPG,Image,https://files.plutof.ut.ee/public/orig/7D/52/7D52402DA4EBF5D3C79625069A03039E3F48F3D9E3CD79755461782894C99B42.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180245.JPG,Image,https://files.plutof.ut.ee/public/orig/FD/E2/FDE28F0E0B78A416C91B440F4712462C2F26ADFCDEDC191A5C9B225C9456E42C.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180247.JPG,Image,https://files.plutof.ut.ee/public/orig/81/DA/81DA0416A2D4BD60126A605A85213FD14529F19AA5516D0DA62D73EF2A4285A6.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180251.JPG,Image,https://files.plutof.ut.ee/public/orig/DF/F7/DFF779809BB9D208217F78B9CE63676CFB7D406A234E686FD8897F68F4468EBA.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180265.JPG,Image,https://files.plutof.ut.ee/public/orig/C5/A8/C5A8198FCAE32CF42F06A671B83D6AB7F0451E4B9D87C324A0225FF1482FB88E.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180259.JPG,Image,https://files.plutof.ut.ee/public/orig/58/B3/58B36A60D3AD9BC27F0BA6885E003E00C76DA562D0CEF2D87D7EECFA0D38C350.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180271.JPG,Image,https://files.plutof.ut.ee/public/orig/E7/8A/E78ACF75352E6C0CBE4DC01D99664DFC198EBF54E626C1BD1C44B2938B372B9F.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180286.JPG,Image,https://files.plutof.ut.ee/public/orig/F3/12/F312946060499B842B9B5927C92E88AB07D1E3AC035E9AD81ADA7EFE32003557.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180275.JPG,Image,https://files.plutof.ut.ee/public/orig/B2/00/B200B621FCEAF12F398ECC71C147EDBD5253A67DF66CDDD21F5D24A54AB22BA5.jpg,2019-11-25,2020-12-15
Roscoff,France,MarBloR3,2019-06-12,2019-09-18,ARMS_Roscoff_MarBloR3_20190612_20190918,2019_MBlo_R3_P9180294.JPG,Image,https://files.plutof.ut.ee/public/orig/44/31/4431848CE32DB931C5665C6AD21D0B3E4F30FCFC160C65317C1D80ECA57C2959.jpg,2019-11-25,2020-12-15
